product_title,price,ratings,colors,size,gender,timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-11T17:16:58.830364
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-11T17:16:58.830364
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-11T17:16:58.830364
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-11T17:16:58.830364
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-11T17:16:58.830364
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-11T17:16:58.830364
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-11T17:16:58.830364
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-11T17:16:58.830364
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-11T17:16:58.830364
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-11T17:16:58.830364
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-11T17:16:58.830364
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-11T17:16:58.830364
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-11T17:16:58.830364
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-11T17:16:58.830364
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-11T17:16:58.831364
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-11T17:16:58.831364
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-11T17:16:58.831364
Pants 22,4319680.0,4.9,3,M,Men,2025-05-11T17:16:58.978239
Outerwear 23,4655840.0,3.7,3,L,Women,2025-05-11T17:16:58.978239
Jacket 24,8223520.0,3.9,3,XL,Unisex,2025-05-11T17:16:58.978239
Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2025-05-11T17:16:58.978239
T-shirt 26,7292320.0,4.6,3,S,Women,2025-05-11T17:16:58.978239
Hoodie 27,3551840.0,4.8,3,M,Unisex,2025-05-11T17:16:58.978239
Pants 28,5216160.0,4.0,3,L,Men,2025-05-11T17:16:58.979245
Outerwear 29,861600.0,3.1,3,XL,Women,2025-05-11T17:16:58.979245
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2025-05-11T17:16:58.979245
T-shirt 32,6657920.0,3.4,3,M,Women,2025-05-11T17:16:58.979245
Hoodie 33,7248160.0,3.5,3,L,Unisex,2025-05-11T17:16:58.979245
Pants 34,8362719.999999999,3.8,3,XL,Men,2025-05-11T17:16:58.979245
Outerwear 35,1356160.0,3.8,3,XXL,Women,2025-05-11T17:16:58.979245
Jacket 36,7249280.0,3.7,3,S,Unisex,2025-05-11T17:16:58.979245
Crewneck 37,6006080.0,4.0,3,M,Men,2025-05-11T17:16:58.979245
T-shirt 38,4866080.0,3.2,3,L,Women,2025-05-11T17:16:58.979245
Hoodie 39,6431200.0,4.6,3,XL,Unisex,2025-05-11T17:16:58.979245
Pants 40,5853600.0,3.1,3,XXL,Men,2025-05-11T17:16:58.979245
Jacket 42,6744160.0,3.7,3,M,Unisex,2025-05-11T17:16:59.116099
Crewneck 43,2909600.0,4.5,3,L,Men,2025-05-11T17:16:59.116099
T-shirt 44,3312320.0,3.0,3,XL,Women,2025-05-11T17:16:59.116099
Hoodie 45,8693120.0,4.5,3,XXL,Unisex,2025-05-11T17:16:59.116099
Outerwear 47,6364640.0,3.2,3,M,Women,2025-05-11T17:16:59.116099
Jacket 48,4994720.0,3.4,3,L,Unisex,2025-05-11T17:16:59.116099
Crewneck 49,1071200.0,4.0,3,XL,Men,2025-05-11T17:16:59.116099
T-shirt 50,5932960.0,3.1,3,XXL,Women,2025-05-11T17:16:59.116099
Pants 52,1596480.0,4.0,3,M,Men,2025-05-11T17:16:59.116099
Outerwear 53,4470880.0,4.3,3,L,Women,2025-05-11T17:16:59.116099
Jacket 54,854560.0,4.2,3,XL,Unisex,2025-05-11T17:16:59.116099
Crewneck 55,1793760.0,3.6,3,XXL,Men,2025-05-11T17:16:59.116099
T-shirt 56,4643040.0,3.8,3,S,Women,2025-05-11T17:16:59.116099
Hoodie 57,3155360.0,4.9,3,M,Unisex,2025-05-11T17:16:59.116099
Pants 58,1637760.0,4.4,3,L,Men,2025-05-11T17:16:59.117092
Outerwear 59,2254240.0,4.6,3,XL,Women,2025-05-11T17:16:59.117092
Jacket 60,3375520.0,4.2,3,XXL,Unisex,2025-05-11T17:16:59.117092
T-shirt 62,1376480.0,3.8,3,M,Women,2025-05-11T17:16:59.741862
Hoodie 63,6479200.0,3.6,3,L,Unisex,2025-05-11T17:16:59.741862
Pants 64,7728480.0,4.0,3,XL,Men,2025-05-11T17:16:59.741862
Outerwear 65,2385920.0,4.1,3,XXL,Women,2025-05-11T17:16:59.741862
Jacket 66,4353120.0,3.5,3,S,Unisex,2025-05-11T17:16:59.741862
Crewneck 67,8470720.0,3.5,3,M,Men,2025-05-11T17:16:59.741862
T-shirt 68,8025280.0,4.0,3,L,Women,2025-05-11T17:16:59.741862
Hoodie 69,1027839.9999999999,3.6,3,XL,Unisex,2025-05-11T17:16:59.741862
Pants 70,1171360.0,4.4,3,XXL,Men,2025-05-11T17:16:59.742863
Jacket 72,3776000.0,4.4,3,M,Unisex,2025-05-11T17:16:59.742863
Crewneck 73,2460320.0,3.0,3,L,Men,2025-05-11T17:16:59.742863
T-shirt 74,7704800.0,3.8,3,XL,Women,2025-05-11T17:16:59.742863
Hoodie 75,2101760.0,4.3,3,XXL,Unisex,2025-05-11T17:16:59.742863
Outerwear 77,861760.0,3.7,3,M,Women,2025-05-11T17:16:59.742863
Jacket 78,2716480.0,4.3,3,L,Unisex,2025-05-11T17:16:59.742863
Crewneck 79,3309600.0,4.6,3,XL,Men,2025-05-11T17:16:59.742863
T-shirt 80,4178399.9999999995,4.5,3,XXL,Women,2025-05-11T17:16:59.742863
Pants 82,8315520.0,4.8,3,M,Men,2025-05-11T17:17:00.099934
Outerwear 83,3947840.0,3.7,3,L,Women,2025-05-11T17:17:00.099934
Jacket 84,2826080.0,4.8,3,XL,Unisex,2025-05-11T17:17:00.099934
Crewneck 85,4564160.0,3.5,3,XXL,Men,2025-05-11T17:17:00.099934
T-shirt 86,1670880.0,3.9,3,S,Women,2025-05-11T17:17:00.099934
Hoodie 87,7870240.0,4.3,3,M,Unisex,2025-05-11T17:17:00.099934
Pants 88,7590400.0,3.1,3,L,Men,2025-05-11T17:17:00.099934
Outerwear 89,4856320.0,3.0,3,XL,Women,2025-05-11T17:17:00.099934
Jacket 90,7160000.0,4.0,3,XXL,Unisex,2025-05-11T17:17:00.099934
T-shirt 92,5012320.0,3.5,3,M,Women,2025-05-11T17:17:00.099934
Hoodie 93,1365280.0,3.6,3,L,Unisex,2025-05-11T17:17:00.099934
Pants 94,1074880.0,4.3,3,XL,Men,2025-05-11T17:17:00.099934
Outerwear 95,6062240.0,3.5,3,XXL,Women,2025-05-11T17:17:00.100934
Jacket 96,4598240.0,4.9,3,S,Unisex,2025-05-11T17:17:00.100934
Crewneck 97,6113120.0,3.9,3,M,Men,2025-05-11T17:17:00.100934
T-shirt 98,8596960.0,3.1,3,L,Women,2025-05-11T17:17:00.100934
Hoodie 99,5028000.0,3.6,3,XL,Unisex,2025-05-11T17:17:00.100934
Pants 100,2217280.0,4.6,3,XXL,Men,2025-05-11T17:17:00.100934
Jacket 102,3840640.0,3.3,3,M,Unisex,2025-05-11T17:17:00.754223
Crewneck 103,2331680.0,3.5,3,L,Men,2025-05-11T17:17:00.754223
T-shirt 104,2374400.0,3.8,3,XL,Women,2025-05-11T17:17:00.754223
Hoodie 105,5019840.0,4.2,3,XXL,Unisex,2025-05-11T17:17:00.754223
Outerwear 107,6625120.0,4.0,3,M,Women,2025-05-11T17:17:00.754223
Jacket 108,5551680.0,4.8,3,L,Unisex,2025-05-11T17:17:00.754223
Crewneck 109,5886880.0,3.3,3,XL,Men,2025-05-11T17:17:00.754223
T-shirt 110,7197120.0,4.6,3,XXL,Women,2025-05-11T17:17:00.754223
Pants 112,4261920.0,3.3,3,M,Men,2025-05-11T17:17:00.755227
Outerwear 113,4472000.0,3.7,3,L,Women,2025-05-11T17:17:00.755227
Jacket 114,5386560.0,4.9,3,XL,Unisex,2025-05-11T17:17:00.755227
Crewneck 115,1933280.0,4.5,3,XXL,Men,2025-05-11T17:17:00.755227
T-shirt 116,3474560.0,3.0,3,S,Women,2025-05-11T17:17:00.755227
Hoodie 117,3376320.0,5.0,3,M,Unisex,2025-05-11T17:17:00.755227
Pants 118,5585440.0,3.2,3,L,Men,2025-05-11T17:17:00.755227
Outerwear 119,3561760.0,3.4,3,XL,Women,2025-05-11T17:17:00.755227
Jacket 120,7480320.0,4.0,3,XXL,Unisex,2025-05-11T17:17:00.755227
T-shirt 122,1961920.0,3.6,3,M,Women,2025-05-11T17:17:01.077116
Hoodie 123,4498080.0,3.8,3,L,Unisex,2025-05-11T17:17:01.077116
Pants 124,7023520.0,3.2,3,XL,Men,2025-05-11T17:17:01.077116
Outerwear 125,6998240.0,4.2,3,XXL,Women,2025-05-11T17:17:01.077116
Jacket 126,4426080.0,3.9,3,S,Unisex,2025-05-11T17:17:01.077116
Crewneck 127,8311680.0,4.0,3,M,Men,2025-05-11T17:17:01.077116
T-shirt 128,4466720.0,3.8,3,L,Women,2025-05-11T17:17:01.077116
Hoodie 129,2532480.0,4.5,3,XL,Unisex,2025-05-11T17:17:01.077116
Pants 130,6603520.0,4.8,3,XXL,Men,2025-05-11T17:17:01.077116
Jacket 132,6474880.0,4.2,3,M,Unisex,2025-05-11T17:17:01.077116
Crewneck 133,2016320.0,4.7,3,L,Men,2025-05-11T17:17:01.077116
T-shirt 134,5937440.0,3.2,3,XL,Women,2025-05-11T17:17:01.077116
Hoodie 135,5141440.0,4.7,3,XXL,Unisex,2025-05-11T17:17:01.077116
Outerwear 137,6988320.0,4.5,3,M,Women,2025-05-11T17:17:01.077116
Jacket 138,4635520.0,3.4,3,L,Unisex,2025-05-11T17:17:01.077116
Crewneck 139,8053120.0,4.5,3,XL,Men,2025-05-11T17:17:01.077116
T-shirt 140,6811040.0,3.5,3,XXL,Women,2025-05-11T17:17:01.077116
Pants 142,2325280.0,4.9,3,M,Men,2025-05-11T17:17:01.403923
Outerwear 143,3346560.0,4.9,3,L,Women,2025-05-11T17:17:01.403923
Jacket 144,5758240.0,4.3,3,XL,Unisex,2025-05-11T17:17:01.403923
Crewneck 145,3472800.0,4.8,3,XXL,Men,2025-05-11T17:17:01.403923
T-shirt 146,7688640.0,4.3,3,S,Women,2025-05-11T17:17:01.403923
Hoodie 147,3052800.0,5.0,3,M,Unisex,2025-05-11T17:17:01.403923
Pants 148,6033440.0,4.7,3,L,Men,2025-05-11T17:17:01.403923
Outerwear 149,3105920.0,3.2,3,XL,Women,2025-05-11T17:17:01.403923
Jacket 150,1500640.0,3.6,3,XXL,Unisex,2025-05-11T17:17:01.403923
T-shirt 152,6288640.0,4.2,3,M,Women,2025-05-11T17:17:01.403923
Hoodie 153,2660640.0,4.3,3,L,Unisex,2025-05-11T17:17:01.403923
Pants 154,2337440.0,3.0,3,XL,Men,2025-05-11T17:17:01.403923
Outerwear 155,3783200.0,4.1,3,XXL,Women,2025-05-11T17:17:01.403923
Jacket 156,6645120.0,3.6,3,S,Unisex,2025-05-11T17:17:01.403923
Crewneck 157,1105760.0,4.0,3,M,Men,2025-05-11T17:17:01.403923
T-shirt 158,7321120.0,4.0,3,L,Women,2025-05-11T17:17:01.403923
Hoodie 159,2371680.0,4.9,3,XL,Unisex,2025-05-11T17:17:01.403923
Pants 160,2802880.0,3.4,3,XXL,Men,2025-05-11T17:17:01.404922
Jacket 162,1543840.0,4.5,3,M,Unisex,2025-05-11T17:17:01.823221
Crewneck 163,7861920.0,4.4,3,L,Men,2025-05-11T17:17:01.823221
T-shirt 164,3512000.0,3.9,3,XL,Women,2025-05-11T17:17:01.823221
Hoodie 165,6921280.0,4.9,3,XXL,Unisex,2025-05-11T17:17:01.824221
Outerwear 167,3273760.0,3.1,3,M,Women,2025-05-11T17:17:01.824221
Jacket 168,870400.0,4.4,3,L,Unisex,2025-05-11T17:17:01.824221
Crewneck 169,8032800.0,4.7,3,XL,Men,2025-05-11T17:17:01.824221
T-shirt 170,6677920.0,4.5,3,XXL,Women,2025-05-11T17:17:01.824221
Pants 172,1566080.0,4.9,3,M,Men,2025-05-11T17:17:01.824221
Outerwear 173,7034560.0,4.6,3,L,Women,2025-05-11T17:17:01.824221
Jacket 174,6282240.0,3.3,3,XL,Unisex,2025-05-11T17:17:01.824221
Crewneck 175,8125120.0,4.5,3,XXL,Men,2025-05-11T17:17:01.824221
T-shirt 176,6104320.0,3.6,3,S,Women,2025-05-11T17:17:01.824221
Hoodie 177,1890400.0,4.6,3,M,Unisex,2025-05-11T17:17:01.824221
Pants 178,6184160.0,3.0,3,L,Men,2025-05-11T17:17:01.824221
Outerwear 179,5816640.0,3.5,3,XL,Women,2025-05-11T17:17:01.824221
Jacket 180,5552640.0,3.9,3,XXL,Unisex,2025-05-11T17:17:01.824221
T-shirt 182,2334880.0,3.8,3,M,Women,2025-05-11T17:17:02.269913
Hoodie 183,3904640.0,3.6,3,L,Unisex,2025-05-11T17:17:02.269913
Pants 184,7759520.0,4.5,3,XL,Men,2025-05-11T17:17:02.269913
Outerwear 185,7822880.0,3.2,3,XXL,Women,2025-05-11T17:17:02.269913
Jacket 186,6940480.0,4.2,3,S,Unisex,2025-05-11T17:17:02.269913
Crewneck 187,6663520.0,3.8,3,M,Men,2025-05-11T17:17:02.269913
T-shirt 188,3927840.0,4.4,3,L,Women,2025-05-11T17:17:02.269913
Hoodie 189,1946720.0,4.0,3,XL,Unisex,2025-05-11T17:17:02.269913
Pants 190,2220960.0,4.5,3,XXL,Men,2025-05-11T17:17:02.269913
Jacket 192,5066240.0,3.8,3,M,Unisex,2025-05-11T17:17:02.269913
Crewneck 193,7355680.0,4.1,3,L,Men,2025-05-11T17:17:02.269913
T-shirt 194,2818720.0,4.9,3,XL,Women,2025-05-11T17:17:02.269913
Hoodie 195,7208960.0,4.9,3,XXL,Unisex,2025-05-11T17:17:02.269913
Outerwear 197,5681600.0,4.9,3,M,Women,2025-05-11T17:17:02.269913
Jacket 198,5435040.0,4.5,3,L,Unisex,2025-05-11T17:17:02.269913
Crewneck 199,6744320.0,3.1,3,XL,Men,2025-05-11T17:17:02.269913
T-shirt 200,6289920.0,3.5,3,XXL,Women,2025-05-11T17:17:02.269913
Pants 202,5592480.0,3.3,3,M,Men,2025-05-11T17:17:02.612437
Outerwear 203,2144000.0,3.4,3,L,Women,2025-05-11T17:17:02.612437
Jacket 204,6031040.0,3.9,3,XL,Unisex,2025-05-11T17:17:02.612437
Crewneck 205,6434880.0,3.2,3,XXL,Men,2025-05-11T17:17:02.612437
T-shirt 206,4674720.0,4.5,3,S,Women,2025-05-11T17:17:02.612437
Hoodie 207,6101440.0,3.5,3,M,Unisex,2025-05-11T17:17:02.612437
Pants 208,4637600.0,3.1,3,L,Men,2025-05-11T17:17:02.612437
Outerwear 209,7980640.0,4.3,3,XL,Women,2025-05-11T17:17:02.612437
Jacket 210,7827360.0,4.7,3,XXL,Unisex,2025-05-11T17:17:02.612437
T-shirt 212,8794880.0,4.7,3,M,Women,2025-05-11T17:17:02.612437
Hoodie 213,5748000.0,3.6,3,L,Unisex,2025-05-11T17:17:02.612437
Pants 214,4315680.0,4.9,3,XL,Men,2025-05-11T17:17:02.612437
Outerwear 215,1449600.0,3.8,3,XXL,Women,2025-05-11T17:17:02.612437
Jacket 216,4576480.0,4.6,3,S,Unisex,2025-05-11T17:17:02.612437
Crewneck 217,5772960.0,4.8,3,M,Men,2025-05-11T17:17:02.612437
T-shirt 218,5600320.0,3.1,3,L,Women,2025-05-11T17:17:02.612437
